metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
khulnasoft.cluster_agent.admission_webhooks.certificate_expiry,gauge,,hour,,Time left before the certificate expires,0,khulnasoft_cluster_agent,admission webhooks certificate expiry,
khulnasoft.cluster_agent.admission_webhooks.library_injection_attempts,count,,,,"Number of library injection attempts by language",0,khulnasoft_cluster_agent,library injection attempts,
khulnasoft.cluster_agent.admission_webhooks.library_injection_errors,count,,,,"Number of library injection failures by language",0,khulnasoft_cluster_agent,library injection errors,
khulnasoft.cluster_agent.admission_webhooks.mutation_attempts,gauge,,,,Number of pod mutation attempts by mutation type,0,khulnasoft_cluster_agent,admission webhooks mutation attempts,
khulnasoft.cluster_agent.admission_webhooks.mutation_errors,gauge,,,,Number of mutation failures by mutation type,-1,khulnasoft_cluster_agent,admission webhooks mutation errors,
khulnasoft.cluster_agent.admission_webhooks.patcher.attempts,count,,,,"Number of patch attempts",0,khulnasoft_cluster_agent,patch attempts,
khulnasoft.cluster_agent.admission_webhooks.patcher.completed,count,,,,"Number of completed patch attempts",0,khulnasoft_cluster_agent,completed patch attempts,
khulnasoft.cluster_agent.admission_webhooks.patcher.errors,count,,,,"Number of patch errors",0,khulnasoft_cluster_agent,patch errors,
khulnasoft.cluster_agent.admission_webhooks.rc_provider.configs,gauge,,,,"Number of valid remote configuration",0,khulnasoft_cluster_agent,valid remote configurations,
khulnasoft.cluster_agent.admission_webhooks.rc_provider.invalid_configs,gauge,,,,"Number of invalid remote configurations",0,khulnasoft_cluster_agent,invalid remote configurations,
khulnasoft.cluster_agent.admission_webhooks.reconcile_errors,gauge,,,,Number of reconcile errors per controller,-1,khulnasoft_cluster_agent,admission webhooks reconcile errors,
khulnasoft.cluster_agent.admission_webhooks.reconcile_success,gauge,,success,,Number of reconcile successes per controller,0,khulnasoft_cluster_agent,admission webhooks reconcile success,
khulnasoft.cluster_agent.admission_webhooks.response_duration.count,count,,,,Webhook response duration count,0,khulnasoft_cluster_agent,webhook response duration count,
khulnasoft.cluster_agent.admission_webhooks.response_duration.sum,count,,second,,Webhook response duration sum,0,khulnasoft_cluster_agent,webhook response duration sum,
khulnasoft.cluster_agent.admission_webhooks.webhooks_received,gauge,,,,Number of mutation webhook requests received,0,khulnasoft_cluster_agent,admission webhooks received,
khulnasoft.cluster_agent.aggregator.flush,count,,,,"Number of metrics/service checks/events flushed by (data_type, state)",0,khulnasoft_cluster_agent,aggregator flush,
khulnasoft.cluster_agent.aggregator.processed,count,,,,Amount of metrics/services_checks/events processed by the aggregator by data_type,0,khulnasoft_cluster_agent,aggregator processed,
khulnasoft.cluster_agent.api_requests,count,,request,,"Requests made to the cluster agent API by (handler, status)",0,khulnasoft_cluster_agent,api requests,
khulnasoft.cluster_agent.autodiscovery.errors,gauge,,,,Number of Autodiscovery errors,0,khulnasoft_cluster_agent,AD errors,
khulnasoft.cluster_agent.autodiscovery.poll_duration.count,count,,,,Autodiscovery poll duration count,0,khulnasoft_cluster_agent,AD poll duration count,
khulnasoft.cluster_agent.autodiscovery.poll_duration.sum,count,,second,,Autodiscovery poll duration sum,0,khulnasoft_cluster_agent,AD poll duration sum,
khulnasoft.cluster_agent.autodiscovery.watched_resources,gauge,,,,Number of watched resources (Services and Endpoints),0,khulnasoft_cluster_agent,AD watched resources,
khulnasoft.cluster_agent.cluster_checks.busyness,gauge,,,,Busyness of a node per the number of metrics submitted and average duration of all checks run,0,khulnasoft_cluster_agent,cluster check node busyness,
khulnasoft.cluster_agent.cluster_checks.configs_dangling,gauge,,,,Number of check configurations not dispatched,-1,khulnasoft_cluster_agent,cluster check configs dangling,
khulnasoft.cluster_agent.cluster_checks.configs_dispatched,gauge,,,,Number of check configurations dispatched by node,0,khulnasoft_cluster_agent,cluster check configs dispatched,
khulnasoft.cluster_agent.cluster_checks.configs_info,gauge,,,,Information about check configurations dispatched (node and check ID),0,khulnasoft_cluster_agent,cluster check configs info,
khulnasoft.cluster_agent.cluster_checks.failed_stats_collection,count,,,,Total number of unsuccessful stats collection attempts,0,khulnasoft_cluster_agent,cluster check failed stats collection,
khulnasoft.cluster_agent.cluster_checks.nodes_reporting,gauge,,,,Number of node agents reporting,0,khulnasoft_cluster_agent,cluster check nodes reporting,
khulnasoft.cluster_agent.cluster_checks.rebalancing_decisions,count,,,,Total number of check rebalancing decisions,0,khulnasoft_cluster_agent,cluster check rebalancing decisions,
khulnasoft.cluster_agent.cluster_checks.rebalancing_duration_seconds,gauge,,second,,Duration of the check rebalancing algorithm last execution,0,khulnasoft_cluster_agent,cluster check rebalancing duration,
khulnasoft.cluster_agent.cluster_checks.successful_rebalancing_moves,count,,check,,Total number of successful check rebalancing decisions,1,khulnasoft_cluster_agent,cluster check rebalancing moves,
khulnasoft.cluster_agent.cluster_checks.updating_stats_duration_seconds,gauge,,second,,Duration of collecting stats from check runners and updating cache,0,khulnasoft_cluster_agent,cluster check updating stats duration,
khulnasoft.cluster_agent.khulnasoft.rate_limit_queries.limit,gauge,,query,,Maximum number of queries to the Khulnasoft API allowed in the period by endpoint,0,khulnasoft_cluster_agent,rate limit queries limit,
khulnasoft.cluster_agent.khulnasoft.rate_limit_queries.period,gauge,,second,,Period of rate limiting for the Khulnasoft API by endpoint,0,khulnasoft_cluster_agent,rate limit queries period,
khulnasoft.cluster_agent.khulnasoft.rate_limit_queries.remaining,gauge,,query,,Number of queries to the Khulnasoft API remaining before next reset by endpoint,0,khulnasoft_cluster_agent,rate limit queries remaining,
khulnasoft.cluster_agent.khulnasoft.rate_limit_queries.remaining_min,gauge,,query,,Minimum number of queries remaining before next reset observed during an expiration interval of 2*refresh period,0,khulnasoft_cluster_agent,rate limit queries remaining minimum,
khulnasoft.cluster_agent.khulnasoft.rate_limit_queries.reset,gauge,,second,,Number of seconds before next reset applied to the Khulnasoft API by endpoint,0,khulnasoft_cluster_agent,rate limit queries reset,
khulnasoft.cluster_agent.khulnasoft.requests,count,,request,,Requests made to Khulnasoft by status,0,khulnasoft_cluster_agent,khulnasoft requests,
khulnasoft.cluster_agent.endpoint_checks.configs_dispatched,gauge,,,,Number of endpoint-check configurations dispatched by node,0,khulnasoft_cluster_agent,endpoint check configs dispatched,
khulnasoft.cluster_agent.external_metrics,gauge,,,,Number of external metrics tagged,0,khulnasoft_cluster_agent,external metrics,
khulnasoft.cluster_agent.external_metrics.api_elapsed.count,count,,,,Count of API Requests received,0,khulnasoft_cluster_agent,external metrics api elapsed count,
khulnasoft.cluster_agent.external_metrics.api_elapsed.sum,count,,,,Count of API Requests received,0,khulnasoft_cluster_agent,external metrics api elapsed sum,
khulnasoft.cluster_agent.external_metrics.api_requests,gauge,,,,Count of API Requests received,0,khulnasoft_cluster_agent,external metrics api requests,
